[description:"convert DealsBoardFiltered to typescript" end:"1580499719" entry:"1580236981" modified:"1580499719" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"73b0dce5-eafd-4a09-867a-cd76f3635a91"]
[description:"convert DealSettingsDialog to typescript" end:"1580437830" entry:"1580236981" modified:"1580437830" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"4962d174-9878-4f3c-9f41-1a9b9d0b02f6"]
[description:"convert DealsBoardColumn to typescript" end:"1580410652" entry:"1580236981" modified:"1580410652" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"0c9eb19a-a507-40da-88bf-ba01cdcca10e"]
[description:"convert DealsBoard to typescript" end:"1580376612" entry:"1580236981" modified:"1580376612" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"da4accc9-9524-4cce-aed0-8ac6ed8017e8"]
[description:"convert DealsActions.jsx to typescript" end:"1580368835" entry:"1580236981" modified:"1580368835" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"9834ca6e-9a77-44c7-9b6f-ea04a9fcba8c"]
[description:"convert DealsStore to typescript" end:"1580242219" entry:"1580236981" modified:"1580242219" priority:"M" project:"ts-conversion" status:"completed" tags:"xMentium" uuid:"ae97d0ee-3dfb-4383-8c88-30780af0a14c"]
[description:"automatically close the modal after save" end:"1580237001" entry:"1579846466" modified:"1580237001" priority:"M" status:"completed" tags:"xMentium" uuid:"86d4b93a-02d1-4731-a9f7-4a96e6c55d91"]
[description:"when theres a change, youll have to rerender manually" end:"1580237001" entry:"1579846507" modified:"1580237001" priority:"M" status:"completed" tags:"xMentium" uuid:"ac780b93-a2e3-4949-81b2-8d67c0144bfa"]
[description:"s" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"278c06c4-28d4-4711-801b-3a700c12df54"]
[description:"B" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"7e37cecd-376f-4e39-9752-a614096751a4"]
[description:"o" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"6e37a0d6-3e4d-4d25-b56e-13035cd31492"]
[description:"a" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"9af0d421-c949-451f-9c45-5d1a953e7994"]
[description:"r" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"e435cf5c-2e5c-4979-89b8-16980ca47c80"]
[description:"d" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"7e52c052-815b-4eb0-94b9-e45b1ffe4b33"]
[description:"o" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"e4e3fb3f-ddc7-4449-a4a3-1e0da682ad98"]
[description:"C" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"62e26c86-b17d-43ec-8112-6eabf59d3bca"]
[description:"u" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"838ef7f2-8b66-4ced-8b6b-c4d2a3a3b410"]
[description:"l" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"94080735-835a-4d5f-a713-684f8962c8e1"]
[description:"n" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"d946ca18-c753-4cf0-99d4-3b8c7f0662cb"]
[description:"," end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"7dc205ce-3855-41e6-bba4-0290510be1dc"]
[description:"m" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"f415da8f-e176-4c12-b947-650f004b75ab"]
[description:"D" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"57dddb9d-f3c9-4865-b05f-ab458564ab51"]
[description:"a" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"2ea48b91-20d2-4148-b06f-90efa9b9f554"]
[description:"e" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"051a917f-4de5-4431-98dc-07ab641e5c2a"]
[description:"l" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"9bf9602a-5fd4-4225-9efe-11687c87edb4"]
[description:"s" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"0bba42af-ca26-4711-b401-5f92f7ceb2fc"]
[description:"B" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"573c694f-503a-409b-beef-c85237d39fb8"]
[description:"o" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"454c1775-a1f9-48d1-a7b4-8b515a5cb556"]
[description:"a" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"8411a42f-ed0e-4a49-b84a-385c3acc4366"]
[description:"r" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"3db3cc66-5aa4-42ff-bd49-d156651f8995"]
[description:"d" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"24883272-3b78-4197-8b25-b6c66921dc7b"]
[description:"i" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"be63576a-04d3-4cfe-a3e0-de7d4c1a11a3"]
[description:"l" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"1036b013-b8f9-47ff-ac07-f713768e60fc"]
[description:"F" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"c437e635-edc1-49cd-9009-68b606f48188"]
[description:"t" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"d5c40f0e-7f49-4737-b3da-9e19d6e0bbc0"]
[description:"r" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"6d197f0f-1b13-4882-9ad3-2471197a331b"]
[description:"e" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"35bd3fb6-28cf-4f77-9ddd-b05b60ca1b49"]
[description:"e" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"6938c901-2090-43d6-b4f7-7bd0ac129fc8"]
[description:"d" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"aff99e8f-9687-4781-9af6-fec9a90a9167"]
[description:"," end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"4542e632-a75c-4618-96c9-c08286c898fe"]
[description:"D" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"48b263e1-9c16-4625-98f6-5e2927584059"]
[description:"e" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"f9393fd8-6d08-45c2-8fc1-93d545f9f9eb"]
[description:"a" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"f0aeabf7-b76d-407c-8888-0962788cf037"]
[description:"l" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"267bf301-b6d4-4b21-b227-edba96c7bf9f"]
[description:"S" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"67e40ed9-2a81-4e87-a492-6daf09df2fa5"]
[description:"e" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"2db86a52-5f8a-4b27-8b6d-9e3696a1c3ec"]
[description:"t" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"f3671d18-79ba-41c7-9242-6c56bc58444a"]
[description:"t" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"393a5a8b-8d59-43be-a390-67b91ddbefa6"]
[description:"i" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"ef8342ee-da15-4ed8-968f-9fdbe2221a2e"]
[description:"n" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"4b4c3f02-1491-4d21-b058-c63ccfeb0882"]
[description:"g" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"e475b7e1-d991-4f58-b61b-60614542cf46"]
[description:"s" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"94d0918b-4e51-4d2f-8966-42c228bd6571"]
[description:"D" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"824fe9ca-4845-4341-b232-a8f6fc31b9fc"]
[description:"i" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"816f9a53-e608-423a-b6ec-81d4490446f6"]
[description:"a" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"e381a855-c883-4514-a94e-83d73fe757ed"]
[description:"l" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"31d7cc88-7683-44d9-a7d6-8bae4f020792"]
[description:"o" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"1ac286b5-397f-464b-8deb-8b0fb5786053"]
[description:"g" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"e59948b9-2344-4636-b291-88769c0a1393"]
[description:"," end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"50ab334b-b7d4-4acb-bbcc-f529146aa77f"]
[description:"D" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"4e29e559-7a7d-43e8-af42-6dd8dff85d36"]
[description:"e" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"22b0f48d-b092-4dd3-b0aa-268296dcdff8"]
[description:"a" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"d853709f-9bb8-4f58-9391-4ccf7b5abc95"]
[description:"l" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"259ee497-9656-45cd-8bdd-2623c47880c9"]
[description:"s" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"d6a7675d-c791-4957-acc9-8d1a35fa0b64"]
[description:"S" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"7e1eedbf-7af8-4103-99bf-b0a9e9d57e58"]
[description:"t" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"0c4750f8-a4a3-462b-a079-c4885c4f9dc9"]
[description:"o" end:"1580236932" entry:"1580236901" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"a8318a16-49f9-4b12-b999-9cfc618fc99f"]
[description:"r" end:"1580236932" entry:"1580236902" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"c8d0128f-aa00-43ac-af3d-d227a13d4898"]
[description:"e" end:"1580236932" entry:"1580236902" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"b1486c8b-fae9-4488-893f-0ccdfea63428"]
[description:"t" end:"1580236932" entry:"1580236902" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"7d576699-7da4-455b-acef-9d69ea45f065"]
[description:"o" end:"1580236932" entry:"1580236902" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"13c4f5b3-befd-4d63-a7de-fbe498e893b4"]
[description:"t" end:"1580236932" entry:"1580236902" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"cf77de3f-0439-4b2a-b565-0a95178e7072"]
[description:"y" end:"1580236932" entry:"1580236902" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"fa3a2c99-ee0d-4122-97c1-2dc814a90ba4"]
[description:"p" end:"1580236932" entry:"1580236902" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"af29f94a-aff0-4c7c-b110-9d6b37c9a4d5"]
[description:"e" end:"1580236932" entry:"1580236902" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"3ccdd921-225e-4696-96df-a17a6f8de81b"]
[description:"s" end:"1580236932" entry:"1580236902" modified:"1580236932" priority:"M" project:"ts-conversion" status:"deleted" tags:"xMentium" uuid:"af60e65c-aac9-4b23-ae6f-512f701e45b0"]
